Line#,Date,Final,"Scaled Voltage (S-FS-TRMSA 21329018:20536129-1),VAC,GC-15kW","Scaled Current (S-FS-TRMSA 21329018:20536129-2),A,GC-15kW","Scaled Series (RAW-C-20 21329018:21433559-1),l/m,GC-15kW,Flow Meter","Temperature (S-TMB 21329018:20466913-1),°C,GC-15kW,Temp in 1","Temperature (S-TMB 21329018:20466914-1),°C,GC-15kW,Temp in 2","Temperature (S-TMB 21329018:20466915-1),°C,GC-15kW,Temp out 1","Temperature (S-TMB 21329018:20590610-1),°C,GC-15kW,Temp out 2"
1011,11/26/25 09:40:00 -0500,11/26/25 09:40:00,240.119,64.984,44.866,22.87,22.82,27.63,27.51
1012,11/26/25 09:42:00 -0500,11/26/25 09:42:00,240.098,64.989,44.729,22.87,22.82,27.68,27.58
1013,11/26/25 09:44:00 -0500,11/26/25 09:44:00,240.152,64.975,46.351,22.87,22.82,27.7,27.6
1014,11/26/25 09:46:00 -0500,11/26/25 09:46:00,240.141,65.003,45.745,22.9,22.85,27.75,27.65
1015,11/26/25 09:48:00 -0500,11/26/25 09:48:00,240.141,64.993,47.171,22.9,22.85,27.7,27.6
1016,11/26/25 09:50:00 -0500,11/26/25 09:50:00,240.108,64.998,48.372,22.9,22.85,27.65,27.55
1017,11/26/25 09:52:00 -0500,11/26/25 09:52:00,245.602,64.975,44.925,22.9,22.85,27.63,27.53
1018,11/26/25 09:54:00 -0500,11/26/25 09:54:00,244.933,64.984,44.534,22.87,22.85,27.65,27.55
1019,11/26/25 09:56:00 -0500,11/26/25 09:56:00,240.141,64.979,43.167,22.9,22.85,27.7,27.6
1020,11/26/25 09:58:00 -0500,11/26/25 09:58:00,240.065,64.989,45.276,22.9,22.85,27.73,27.63
1021,11/26/25 10:00:00 -0500,11/26/25 10:00:00,240.087,64.984,46.663,22.9,22.87,27.75,27.65
1022,11/26/25 10:02:00 -0500,11/26/25 10:02:00,246.325,64.984,46.224,22.9,22.85,27.73,27.6
1023,11/26/25 10:04:00 -0500,11/26/25 10:04:00,245.688,65.003,47.835,22.9,22.85,27.68,27.58
1024,11/26/25 10:06:00 -0500,11/26/25 10:06:00,240.184,64.989,47.298,22.9,22.85,27.65,27.55
1025,11/26/25 10:08:00 -0500,11/26/25 10:08:00,240.184,64.979,46.565,22.9,22.85,27.68,27.58
1026,11/26/25 10:10:00 -0500,11/26/25 10:10:00,240.173,64.993,43.265,22.9,22.87,27.7,27.6
1027,11/26/25 10:12:00 -0500,11/26/25 10:12:00,245.559,66.134,43.46,22.92,22.87,27.75,27.65
1028,11/26/25 10:14:00 -0500,11/26/25 10:14:00,244.814,64.984,46.175,22.92,22.87,27.75,27.65
1029,11/26/25 10:16:00 -0500,11/26/25 10:16:00,240.13,64.984,46.429,22.92,22.87,27.73,27.63
1030,11/26/25 10:18:00 -0500,11/26/25 10:18:00,240.108,64.998,46.683,22.9,22.87,27.68,27.58
1031,11/26/25 10:20:00 -0500,11/26/25 10:20:00,240.087,64.984,47.737,22.9,22.85,27.65,27.55
1032,11/26/25 10:22:00 -0500,11/26/25 10:22:00,241.598,64.984,45.55,22.9,22.85,27.68,27.58
1033,11/26/25 10:24:00 -0500,11/26/25 10:24:00,244.35,64.979,44.476,22.92,22.87,27.73,27.6
1034,11/26/25 10:26:00 -0500,11/26/25 10:26:00,240.065,64.989,44.134,22.92,22.87,27.75,27.65
1035,11/26/25 10:28:00 -0500,11/26/25 10:28:00,240.173,64.984,44.134,22.92,22.87,27.75,27.65
1036,11/26/25 10:30:00 -0500,11/26/25 10:30:00,240.087,64.984,47.376,22.92,22.87,27.73,27.63
1037,11/26/25 10:32:00 -0500,11/26/25 10:32:00,246.487,64.984,46.771,22.92,22.87,27.68,27.58
1038,11/26/25 10:34:00 -0500,11/26/25 10:34:00,246.109,64.998,46.351,22.92,22.87,27.68,27.55
1039,11/26/25 10:36:00 -0500,11/26/25 10:36:00,240.162,64.993,46.605,22.92,22.87,27.7,27.6
1040,11/26/25 10:38:00 -0500,11/26/25 10:38:00,240.108,64.984,47.103,22.92,22.87,27.75,27.65
1041,11/26/25 10:40:00 -0500,11/26/25 10:40:00,240.206,64.989,44.114,22.94,22.9,27.78,27.68
1042,11/26/25 10:42:00 -0500,11/26/25 10:42:00,246.703,64.979,43.88,22.94,22.9,27.78,27.68
1043,11/26/25 10:44:00 -0500,11/26/25 10:44:00,246.26,64.993,44.925,22.94,22.9,27.73,27.63
1044,11/26/25 10:46:00 -0500,11/26/25 10:46:00,240.162,64.989,44.886,22.94,22.9,27.7,27.6
1045,11/26/25 10:48:00 -0500,11/26/25 10:48:00,240.13,64.979,47.513,22.94,22.9,27.7,27.6
1046,11/26/25 10:50:00 -0500,11/26/25 10:50:00,240.054,64.975,47.444,22.94,22.92,27.75,27.65
1047,11/26/25 10:52:00 -0500,11/26/25 10:52:00,246.282,64.97,48.04,22.97,22.92,27.78,27.68
1048,11/26/25 10:54:00 -0500,11/26/25 10:54:00,246.131,64.979,45.55,22.97,22.92,27.8,27.7
1049,11/26/25 10:56:00 -0500,11/26/25 10:56:00,240.087,64.984,43.46,22.97,22.92,27.78,27.68
1050,11/26/25 10:58:00 -0500,11/26/25 10:58:00,240.054,64.989,43.597,22.97,22.92,27.73,27.63
1051,11/26/25 11:00:00 -0500,11/26/25 11:00:00,240.13,64.989,45.735,22.97,22.92,27.7,27.6
1052,11/26/25 11:02:00 -0500,11/26/25 11:02:00,242.073,64.989,45.94,22.97,22.92,27.73,27.63
1053,11/26/25 11:04:00 -0500,11/26/25 11:04:00,240.119,64.979,45.052,22.97,22.92,27.6,27.51
1054,11/26/25 11:06:00 -0500,11/26/25 11:06:00,240.098,64.97,46.341,22.97,22.94,27.8,27.7
1055,11/26/25 11:08:00 -0500,11/26/25 11:08:00,240.108,64.965,46.019,22.99,22.94,27.83,27.73
1056,11/26/25 11:10:00 -0500,11/26/25 11:10:00,240.141,64.97,47.825,22.99,22.94,27.8,27.68
1057,11/26/25 11:12:00 -0500,11/26/25 11:12:00,246.357,64.975,48.108,22.97,22.94,27.75,27.65
1058,11/26/25 11:14:00 -0500,11/26/25 11:14:00,244.695,64.984,47.425,22.97,22.92,27.73,27.6
1059,11/26/25 11:16:00 -0500,11/26/25 11:16:00,240.152,64.975,44.925,22.99,22.94,27.75,27.65
1060,11/26/25 11:18:00 -0500,11/26/25 11:18:00,240.195,64.979,44.808,22.97,22.92,27.78,27.68
1061,11/26/25 11:20:00 -0500,11/26/25 11:20:00,240.162,64.975,44.964,22.99,22.94,27.83,27.73
1062,11/26/25 11:22:00 -0500,11/26/25 11:22:00,246.659,64.965,45.96,23.02,22.97,27.83,27.7
1063,11/26/25 11:24:00 -0500,11/26/25 11:24:00,245.828,64.97,46.722,22.99,22.94,27.8,27.68
1064,11/26/25 11:26:00 -0500,11/26/25 11:26:00,240.184,64.984,47.171,22.99,22.94,27.75,27.63
1065,11/26/25 11:28:00 -0500,11/26/25 11:28:00,240.162,64.984,49.046,22.99,22.94,27.73,27.63
1066,11/26/25 11:30:00 -0500,11/26/25 11:30:00,240.13,64.961,45.687,23.02,22.97,27.78,27.65
1067,11/26/25 11:32:00 -0500,11/26/25 11:32:00,240.13,64.881,43.401,22.99,22.94,27.83,27.7
1068,11/26/25 11:34:00 -0500,11/26/25 11:34:00,244.846,64.97,44.466,23.02,22.97,27.85,27.73
1069,11/26/25 11:36:00 -0500,11/26/25 11:36:00,240.141,64.975,46.487,23.02,22.97,27.83,27.73
1070,11/26/25 11:38:00 -0500,11/26/25 11:38:00,240.098,64.984,46.019,23.02,22.97,27.8,27.7
1071,11/26/25 11:40:00 -0500,11/26/25 11:40:00,240.13,64.975,46.419,23.02,22.97,27.75,27.65
1072,11/26/25 11:42:00 -0500,11/26/25 11:42:00,240.173,64.951,48.411,23.02,22.97,27.78,27.68
1073,11/26/25 11:44:00 -0500,11/26/25 11:44:00,240.152,64.965,45.677,23.02,22.97,27.8,27.7
1074,11/26/25 11:46:00 -0500,11/26/25 11:46:00,240.054,64.947,45.901,23.02,22.99,27.85,27.75
1075,11/26/25 11:48:00 -0500,11/26/25 11:48:00,240.152,64.961,44.515,23.04,22.99,27.87,27.75
1076,11/26/25 11:50:00 -0500,11/26/25 11:50:00,240.141,64.975,42.923,23.04,22.99,27.85,27.73
1077,11/26/25 11:52:00 -0500,11/26/25 11:52:00,246.325,65.923,46.966,23.04,22.99,27.8,27.7
1078,11/26/25 11:54:00 -0500,11/26/25 11:54:00,245.807,64.97,46.946,23.04,22.99,27.78,27.7
1079,11/26/25 11:56:00 -0500,11/26/25 11:56:00,240.152,64.956,46.956,23.02,22.99,27.8,27.7
1080,11/26/25 11:58:00 -0500,11/26/25 11:58:00,240.065,64.951,46.282,23.04,22.99,27.83,27.73
1081,11/26/25 12:00:00 -0500,11/26/25 12:00:00,240.033,64.961,44.808,23.04,22.99,27.87,27.75
1082,11/26/25 12:02:00 -0500,11/26/25 12:02:00,242.44,64.951,44.339,23.06,23.02,27.9,27.78
1083,11/26/25 12:04:00 -0500,11/26/25 12:04:00,245.645,64.965,43.851,23.06,23.02,27.85,27.73
1084,11/26/25 12:06:00 -0500,11/26/25 12:06:00,240.076,64.965,45.149,23.04,22.99,27.8,27.7
1085,11/26/25 12:08:00 -0500,11/26/25 12:08:00,240.076,64.965,46.917,23.04,22.99,27.8,27.68
1086,11/26/25 12:10:00 -0500,11/26/25 12:10:00,240.098,64.951,44.71,23.04,22.99,27.83,27.7
1087,11/26/25 12:12:00 -0500,11/26/25 12:12:00,242.083,64.947,46.429,23.04,22.99,27.85,27.75
1088,11/26/25 12:14:00 -0500,11/26/25 12:14:00,246.605,64.951,47.308,23.06,23.02,27.87,27.75
1089,11/26/25 12:16:00 -0500,11/26/25 12:16:00,240.076,64.956,46.351,23.06,23.02,27.87,27.78
1090,11/26/25 12:18:00 -0500,11/26/25 12:18:00,240.119,64.947,44.339,23.06,23.02,27.85,27.73
1091,11/26/25 12:20:00 -0500,11/26/25 12:20:00,240.141,64.961,45.354,23.06,23.02,27.8,27.7
1092,11/26/25 12:22:00 -0500,11/26/25 12:22:00,246.454,64.961,46.829,23.04,22.99,27.8,27.68
1093,11/26/25 12:24:00 -0500,11/26/25 12:24:00,245.969,64.956,45.384,23.04,23.02,27.83,27.7
1094,11/26/25 12:26:00 -0500,11/26/25 12:26:00,240.119,64.942,47.083,23.06,23.02,27.87,27.75
1095,11/26/25 12:28:00 -0500,11/26/25 12:28:00,240.119,64.951,45.813,23.06,23.02,27.9,27.78
1096,11/26/25 12:30:00 -0500,11/26/25 12:30:00,240.044,64.956,46.79,23.06,23.02,27.87,27.75
1097,11/26/25 12:32:00 -0500,11/26/25 12:32:00,241.414,64.942,46.829,23.06,23.02,27.85,27.73
1098,11/26/25 12:34:00 -0500,11/26/25 12:34:00,245.688,64.961,45.394,23.06,23.02,27.8,27.7
1099,11/26/25 12:36:00 -0500,11/26/25 12:36:00,239.99,64.956,46.087,23.04,23.02,27.8,27.68
1100,11/26/25 12:38:00 -0500,11/26/25 12:38:00,240.001,64.942,45.472,23.06,23.02,27.83,27.7
1101,11/26/25 12:40:00 -0500,11/26/25 12:40:00,240.001,64.947,43.333,23.06,23.02,27.9,27.78
1102,11/26/25 12:42:00 -0500,11/26/25 12:42:00,246.012,64.937,46.956,23.09,23.04,27.92,27.8
1103,11/26/25 12:44:00 -0500,11/26/25 12:44:00,244.782,64.961,47.376,23.09,23.04,27.87,27.75
1104,11/26/25 12:46:00 -0500,11/26/25 12:46:00,240.054,64.951,46.868,23.09,23.04,27.85,27.75
1105,11/26/25 12:48:00 -0500,11/26/25 12:48:00,240.076,64.961,46.36,23.06,23.02,27.83,27.7
1106,11/26/25 12:50:00 -0500,11/26/25 12:50:00,240.152,64.942,44.124,23.06,23.04,27.85,27.73
1107,11/26/25 12:52:00 -0500,11/26/25 12:52:00,246.638,64.947,44.534,23.06,23.04,27.85,27.75
1108,11/26/25 12:54:00 -0500,11/26/25 12:54:00,240.173,64.937,44.407,23.09,23.04,27.9,27.8
1109,11/26/25 12:56:00 -0500,11/26/25 12:56:00,240.119,64.951,45.354,23.09,23.06,27.92,27.8
1110,11/26/25 12:58:00 -0500,11/26/25 12:58:00,240.119,64.961,46.429,23.11,23.06,27.9,27.78
1111,11/26/25 13:00:00 -0500,11/26/25 13:00:00,240.119,64.956,47.982,23.09,23.06,27.85,27.75
1112,11/26/25 13:02:00 -0500,11/26/25 13:02:00,244.9,64.942,48.108,23.09,23.04,27.85,27.73
1113,11/26/25 13:04:00 -0500,11/26/25 13:04:00,245.774,64.947,46.966,23.09,23.04,27.85,27.75
1114,11/26/25 13:06:00 -0500,11/26/25 13:06:00,240.033,64.956,46.087,23.09,23.06,27.9,27.8
1115,11/26/25 13:08:00 -0500,11/26/25 13:08:00,240.098,64.942,44.759,23.11,23.06,27.92,27.83
1116,11/26/25 13:10:00 -0500,11/26/25 13:10:00,240.087,64.965,43.899,23.11,23.06,27.92,27.83
1117,11/26/25 13:12:00 -0500,11/26/25 13:12:00,249.228,64.947,44.866,23.11,23.06,27.9,27.78
1118,11/26/25 13:14:00 -0500,11/26/25 13:14:00,245.688,64.965,45.315,23.11,23.06,27.87,27.75
1119,11/26/25 13:16:00 -0500,11/26/25 13:16:00,240.108,64.956,45.813,23.09,23.06,27.85,27.75
1120,11/26/25 13:18:00 -0500,11/26/25 13:18:00,240.054,64.961,46.976,23.09,23.06,27.87,27.78
1121,11/26/25 13:20:00 -0500,11/26/25 13:20:00,240.044,64.951,47.366,23.11,23.06,27.92,27.83
1122,11/26/25 13:22:00 -0500,11/26/25 13:22:00,246.444,64.947,46.624,23.11,23.06,27.95,27.83
1123,11/26/25 13:24:00 -0500,11/26/25 13:24:00,246.303,64.951,46.077,23.11,23.06,27.92,27.83
1124,11/26/25 13:26:00 -0500,11/26/25 13:26:00,240.152,64.965,43.675,23.11,23.06,27.87,27.75
1125,11/26/25 13:28:00 -0500,11/26/25 13:28:00,240.076,64.97,44.28,23.11,23.06,27.85,27.75
1126,11/26/25 13:30:00 -0500,11/26/25 13:30:00,240.152,64.956,46.37,23.11,23.06,27.85,27.73
1127,11/26/25 13:32:00 -0500,11/26/25 13:32:00,246.487,64.956,44.036,23.11,23.06,27.87,27.78
1128,11/26/25 13:34:00 -0500,11/26/25 13:34:00,245.979,64.961,47.2,23.11,23.06,27.92,27.8
1129,11/26/25 13:36:00 -0500,11/26/25 13:36:00,240.184,64.961,45.882,23.14,23.09,27.95,27.85
1130,11/26/25 13:38:00 -0500,11/26/25 13:38:00,240.184,64.97,46.751,23.11,23.09,27.92,27.8
1131,11/26/25 13:40:00 -0500,11/26/25 13:40:00,240.13,64.965,46.888,23.14,23.09,27.9,27.78
1132,11/26/25 13:42:00 -0500,11/26/25 13:42:00,247.566,64.965,45.335,23.11,23.09,27.85,27.73
1133,11/26/25 13:44:00 -0500,11/26/25 13:44:00,245.407,64.956,45.13,23.11,23.06,27.87,27.75
1134,11/26/25 13:46:00 -0500,11/26/25 13:46:00,240.152,64.956,42.845,23.11,23.06,27.9,27.78
1135,11/26/25 13:48:00 -0500,11/26/25 13:48:00,240.119,64.961,46.009,23.11,23.06,27.95,27.83
1136,11/26/25 13:50:00 -0500,11/26/25 13:50:00,240.076,64.956,48.118,23.14,23.09,27.95,27.83
1137,11/26/25 13:52:00 -0500,11/26/25 13:52:00,245.472,64.956,46.429,23.14,23.09,27.92,27.8
1138,11/26/25 13:54:00 -0500,11/26/25 13:54:00,244.026,64.961,47.845,23.14,23.09,27.87,27.75
1139,11/26/25 13:56:00 -0500,11/26/25 13:56:00,240.173,64.97,48.216,23.11,23.09,27.87,27.75
1140,11/26/25 13:58:00 -0500,11/26/25 13:58:00,240.162,64.975,46.175,23.11,23.09,27.87,27.75
1141,11/26/25 14:00:00 -0500,11/26/25 14:00:00,240.227,64.965,45.54,23.14,23.09,27.92,27.8
1142,11/26/25 14:02:00 -0500,11/26/25 14:02:00,240.227,64.965,43.069,23.14,23.09,27.95,27.83
1143,11/26/25 14:04:00 -0500,11/26/25 14:04:00,245.731,64.956,43.528,23.14,23.09,27.95,27.8
1144,11/26/25 14:06:00 -0500,11/26/25 14:06:00,240.26,64.975,45.14,23.14,23.11,27.92,27.78
1145,11/26/25 14:08:00 -0500,11/26/25 14:08:00,240.13,64.975,46.302,23.14,23.11,27.87,27.75
1146,11/26/25 14:10:00 -0500,11/26/25 14:10:00,240.216,64.965,49.525,23.14,23.09,27.87,27.75
1147,11/26/25 14:12:00 -0500,11/26/25 14:12:00,245.699,64.961,44.407,23.14,23.09,27.9,27.78
1148,11/26/25 14:14:00 -0500,11/26/25 14:14:00,245.051,64.965,44.505,23.14,23.11,27.95,27.83
1149,11/26/25 14:16:00 -0500,11/26/25 14:16:00,240.195,64.961,44.417,23.16,23.11,27.97,27.85
1150,11/26/25 14:18:00 -0500,11/26/25 14:18:00,240.087,64.97,44.183,23.16,23.11,27.97,27.85
1151,11/26/25 14:20:00 -0500,11/26/25 14:20:00,240.206,64.984,48.089,23.16,23.11,27.92,27.8
1152,11/26/25 14:22:00 -0500,11/26/25 14:22:00,242.44,64.975,47.298,23.16,23.11,27.87,27.75
1153,11/26/25 14:24:00 -0500,11/26/25 14:24:00,245.764,64.97,49.378,23.14,23.09,27.87,27.75
1154,11/26/25 14:26:00 -0500,11/26/25 14:26:00,240.184,64.965,47.493,23.14,23.11,27.92,27.8
1155,11/26/25 14:28:00 -0500,11/26/25 14:28:00,240.227,64.965,46.673,23.14,23.11,27.95,27.8
1156,11/26/25 14:30:00 -0500,11/26/25 14:30:00,240.195,64.975,43.86,23.16,23.11,27.97,27.85
1157,11/26/25 14:32:00 -0500,11/26/25 14:32:00,241.371,64.975,44.534,23.16,23.11,27.95,27.8
1158,11/26/25 14:34:00 -0500,11/26/25 14:34:00,246.39,64.984,44.593,23.16,23.11,27.9,27.78
1159,11/26/25 14:36:00 -0500,11/26/25 14:36:00,240.249,64.979,47.786,23.16,23.11,27.87,27.75
1160,11/26/25 14:38:00 -0500,11/26/25 14:38:00,240.26,64.97,47.444,23.16,23.11,27.9,27.75
1161,11/26/25 14:40:00 -0500,11/26/25 14:40:00,240.216,64.961,48.665,23.16,23.11,27.92,27.8
1162,11/26/25 14:42:00 -0500,11/26/25 14:42:00,245.969,64.961,47.034,23.16,23.11,27.97,27.83
1163,11/26/25 14:44:00 -0500,11/26/25 14:44:00,240.162,64.975,45.345,23.16,23.11,27.97,27.85
1164,11/26/25 14:46:00 -0500,11/26/25 14:46:00,240.141,64.975,44.124,23.16,23.14,27.95,27.8
1165,11/26/25 14:48:00 -0500,11/26/25 14:48:00,240.119,64.984,42.386,23.16,23.11,27.9,27.78
1166,11/26/25 14:50:00 -0500,11/26/25 14:50:00,240.206,64.979,43.675,23.16,23.11,27.87,27.73
1167,11/26/25 14:52:00 -0500,11/26/25 14:52:00,241.468,64.961,45.677,23.16,23.11,27.9,27.78
1168,11/26/25 14:54:00 -0500,11/26/25 14:54:00,246.346,64.97,47.972,23.16,23.11,27.95,27.8
1169,11/26/25 14:56:00 -0500,11/26/25 14:56:00,240.108,64.975,48.108,23.16,23.14,27.97,27.83
1170,11/26/25 14:58:00 -0500,11/26/25 14:58:00,240.227,64.984,47.659,23.16,23.14,27.97,27.85
1171,11/26/25 15:00:00 -0500,11/26/25 15:00:00,240.26,64.984,47.718,23.16,23.14,27.95,27.8
1172,11/26/25 15:02:00 -0500,11/26/25 15:02:00,246.951,64.97,45.901,23.16,23.11,27.9,27.75
1173,11/26/25 15:04:00 -0500,11/26/25 15:04:00,240.281,64.97,45.823,23.16,23.11,27.9,27.75
1174,11/26/25 15:06:00 -0500,11/26/25 15:06:00,240.184,64.979,45.13,23.16,23.14,27.92,27.78
1175,11/26/25 15:08:00 -0500,11/26/25 15:08:00,240.26,64.975,44.925,23.18,23.14,27.95,27.83
1176,11/26/25 15:10:00 -0500,11/26/25 15:10:00,240.26,64.979,46.146,23.18,23.14,27.97,27.85
1177,11/26/25 15:12:00 -0500,11/26/25 15:12:00,246.39,64.975,46.546,23.18,23.14,27.97,27.83
1178,11/26/25 15:14:00 -0500,11/26/25 15:14:00,245.818,64.993,47.23,23.18,23.14,27.92,27.8
1179,11/26/25 15:16:00 -0500,11/26/25 15:16:00,240.26,64.979,47.689,23.18,23.14,27.9,27.75
1180,11/26/25 15:18:00 -0500,11/26/25 15:18:00,240.238,64.979,47.161,23.16,23.14,27.9,27.75
1181,11/26/25 15:20:00 -0500,11/26/25 15:20:00,240.281,64.97,46.321,23.18,23.14,27.95,27.8
1182,11/26/25 15:22:00 -0500,11/26/25 15:22:00,247.35,64.956,45.315,23.18,23.16,27.97,27.85
1183,11/26/25 15:24:00 -0500,11/26/25 15:24:00,245.224,64.979,44.622,23.18,23.16,28.02,27.87
1184,11/26/25 15:26:00 -0500,11/26/25 15:26:00,240.206,64.984,45.022,23.21,23.16,28,27.85
1185,11/26/25 15:28:00 -0500,11/26/25 15:28:00,240.216,64.979,46.478,23.21,23.16,27.95,27.8
1186,11/26/25 15:30:00 -0500,11/26/25 15:30:00,240.173,64.989,47.366,23.18,23.16,27.92,27.8
1187,11/26/25 15:32:00 -0500,11/26/25 15:32:00,240.648,64.975,46.829,23.18,23.16,27.92,27.78
1188,11/26/25 15:34:00 -0500,11/26/25 15:34:00,244.652,64.965,47.562,23.18,23.16,27.97,27.83
1189,11/26/25 15:36:00 -0500,11/26/25 15:36:00,240.27,64.979,44.866,23.21,23.16,28,27.85
1190,11/26/25 15:38:00 -0500,11/26/25 15:38:00,240.281,64.975,43.597,23.21,23.18,28.02,27.9
1191,11/26/25 15:40:00 -0500,11/26/25 15:40:00,240.292,64.979,43.997,23.21,23.16,28,27.85
1192,11/26/25 15:42:00 -0500,11/26/25 15:42:00,247.113,64.979,45.462,23.21,23.18,27.95,27.83
1193,11/26/25 15:44:00 -0500,11/26/25 15:44:00,245.958,64.989,48.978,23.21,23.16,27.95,27.8
1194,11/26/25 15:46:00 -0500,11/26/25 15:46:00,240.313,64.989,48.616,23.21,23.16,27.95,27.8
1195,11/26/25 15:48:00 -0500,11/26/25 15:48:00,240.313,64.984,48.851,23.21,23.16,28,27.85
1196,11/26/25 15:50:00 -0500,11/26/25 15:50:00,240.292,64.975,47.357,23.21,23.18,28,27.87
1197,11/26/25 15:52:00 -0500,11/26/25 15:52:00,246.325,64.984,44.856,23.23,23.18,28.02,27.87
1198,11/26/25 15:54:00 -0500,11/26/25 15:54:00,246.659,64.989,44.456,23.23,23.18,28,27.85
1199,11/26/25 15:56:00 -0500,11/26/25 15:56:00,240.27,64.993,44.534,23.21,23.18,27.95,27.83
1200,11/26/25 15:58:00 -0500,11/26/25 15:58:00,240.27,64.989,44.476,23.21,23.18,27.95,27.8
1201,11/26/25 16:00:00 -0500,11/26/25 16:00:00,240.184,64.979,46.898,23.21,23.18,27.97,27.83
1202,11/26/25 16:02:00 -0500,11/26/25 16:02:00,242.645,64.975,48.079,23.23,23.18,28,27.85
1203,11/26/25 16:04:00 -0500,11/26/25 16:04:00,240.292,64.975,47.649,23.23,23.18,28.02,27.9
1204,11/26/25 16:06:00 -0500,11/26/25 16:06:00,240.324,64.97,44.632,23.23,23.18,28.02,27.9
1205,11/26/25 16:08:00 -0500,11/26/25 16:08:00,240.216,64.989,46.048,23.23,23.18,27.97,27.85
1206,11/26/25 16:10:00 -0500,11/26/25 16:10:00,240.335,64.979,43.841,23.21,23.18,27.95,27.8
1207,11/26/25 16:12:00 -0500,11/26/25 16:12:00,242.116,64.975,43.86,23.23,23.18,27.95,27.8
1208,11/26/25 16:14:00 -0500,11/26/25 16:14:00,246.4,64.984,42.727,23.21,23.18,27.97,27.85
1209,11/26/25 16:16:00 -0500,11/26/25 16:16:00,240.367,64.975,45.804,23.23,23.21,28.02,27.87
1210,11/26/25 16:18:00 -0500,11/26/25 16:18:00,240.216,64.984,48.353,23.26,23.21,28.05,27.9
1211,11/26/25 16:20:00 -0500,11/26/25 16:20:00,240.324,64.989,49.505,23.26,23.21,28.05,27.9
1212,11/26/25 16:22:00 -0500,11/26/25 16:22:00,246.724,64.979,47.689,23.26,23.21,28,27.85
1213,11/26/25 16:24:00 -0500,11/26/25 16:24:00,240.4,64.984,43.479,23.23,23.21,27.95,27.83
1214,11/26/25 16:26:00 -0500,11/26/25 16:26:00,240.27,64.975,44.3,23.26,23.21,27.97,27.83
1215,11/26/25 16:28:00 -0500,11/26/25 16:28:00,240.324,64.965,41.536,23.23,23.21,28,27.87
1216,11/26/25 16:30:00 -0500,11/26/25 16:30:00,240.26,64.97,44.476,23.26,23.21,28.05,27.9
1217,11/26/25 16:32:00 -0500,11/26/25 16:32:00,246.174,64.965,43.958,23.26,23.21,28.05,27.9
1218,11/26/25 16:34:00 -0500,11/26/25 16:34:00,245.839,64.989,44.651,23.26,23.21,28.02,27.9
1219,11/26/25 16:36:00 -0500,11/26/25 16:36:00,240.27,64.984,47.894,23.26,23.21,28,27.85
1220,11/26/25 16:38:00 -0500,11/26/25 16:38:00,240.206,64.989,47.239,23.26,23.21,27.97,27.83
1221,11/26/25 16:40:00 -0500,11/26/25 16:40:00,240.238,64.989,45.677,23.26,23.21,27.97,27.85
1222,11/26/25 16:42:00 -0500,11/26/25 16:42:00,241.306,64.975,47.747,23.26,23.21,28.02,27.9
1223,11/26/25 16:44:00 -0500,11/26/25 16:44:00,245.818,64.979,43.392,23.26,23.23,28.07,27.92
1224,11/26/25 16:46:00 -0500,11/26/25 16:46:00,240.346,64.975,43.792,23.28,23.23,28.07,27.92
1225,11/26/25 16:48:00 -0500,11/26/25 16:48:00,240.303,64.989,47.034,23.28,23.23,28.05,27.9
1226,11/26/25 16:50:00 -0500,11/26/25 16:50:00,240.324,64.989,46.409,23.26,23.23,28,27.85
1227,11/26/25 16:52:00 -0500,11/26/25 16:52:00,240.324,64.989,45.657,23.26,23.23,27.97,27.83
1228,11/26/25 16:54:00 -0500,11/26/25 16:54:00,245.861,64.979,48.958,23.26,23.23,28,27.85
1229,11/26/25 16:56:00 -0500,11/26/25 16:56:00,240.303,64.979,48.108,23.28,23.23,28.05,27.9
1230,11/26/25 16:58:00 -0500,11/26/25 16:58:00,240.292,64.965,47.347,23.28,23.23,28.07,27.92
1231,11/26/25 17:00:00 -0500,11/26/25 17:00:00,240.292,64.975,44.524,23.28,23.26,28.07,27.92
1232,11/26/25 17:02:00 -0500,11/26/25 17:02:00,246.023,64.975,45.872,23.28,23.26,28.05,27.9
1233,11/26/25 17:04:00 -0500,11/26/25 17:04:00,246.444,64.984,45.599,23.28,23.23,28,27.85
1234,11/26/25 17:06:00 -0500,11/26/25 17:06:00,240.292,64.97,48.021,23.26,23.23,28,27.85
1235,11/26/25 17:08:00 -0500,11/26/25 17:08:00,240.238,64.984,46.878,23.28,23.23,28.02,27.87
1236,11/26/25 17:10:00 -0500,11/26/25 17:10:00,240.195,64.975,48.099,23.28,23.26,28.07,27.92
1237,11/26/25 17:12:00 -0500,11/26/25 17:12:00,240.195,64.965,45.687,23.28,23.26,28.1,27.97
1238,11/26/25 17:14:00 -0500,11/26/25 17:14:00,246.519,64.979,47.181,23.3,23.26,28.07,27.92
1239,11/26/25 17:16:00 -0500,11/26/25 17:16:00,240.173,64.984,45.999,23.3,23.26,28.05,27.9
1240,11/26/25 17:18:00 -0500,11/26/25 17:18:00,240.303,64.979,45.452,23.28,23.26,28.02,27.87
1241,11/26/25 17:20:00 -0500,11/26/25 17:20:00,240.27,64.984,45.247,23.28,23.26,28.02,27.87
1242,11/26/25 17:22:00 -0500,11/26/25 17:22:00,241.026,64.984,43.597,23.3,23.26,28.05,27.9
